fouls,yellow_cards,red_cards,possession_rate,shots,shot_on target,passing,passing_success,passing_success_rate,crossing,corners,offside,unkown,head,head_success,save,slide_tackle,shot_out_of target,blocked_shots,thorw-in,stars,hometeam,funny_rating
7.0,0.0,0.0,61.0,17.0,7.0,754.0,689.0,0.91,4.0,4.0,2.0,0.0,10.0,4.0,1.0,20.0,6.0,4.0,20.0,7.27,1.0,0.0
13.0,5.0,0.0,59.0,17.0,8.0,568.0,484.0,0.85,5.0,9.0,1.0,0.0,18.0,6.0,1.0,15.0,4.0,5.0,18.0,6.84,0.0,1.0
12.0,2.0,0.0,57.0,6.0,0.0,619.0,558.0,0.9,16.0,9.0,1.0,0.0,22.0,10.0,1.0,23.0,6.0,8.0,19.0,6.79,1.0,1.0
9.0,1.0,0.0,74.0,33.0,12.0,728.0,662.0,0.91,9.0,16.0,3.0,0.0,15.0,6.0,2.0,18.0,11.0,10.0,27.0,7.83,0.0,0.0
5.0,1.0,0.0,62.0,15.0,6.0,640.0,563.0,0.88,6.0,3.0,3.0,0.0,16.0,10.0,1.0,27.0,6.0,3.0,26.0,6.89,1.0,1.0
13.0,0.0,0.0,59.0,18.0,10.0,693.0,598.0,0.86,9.0,5.0,5.0,0.0,19.0,12.0,1.0,18.0,7.0,1.0,29.0,6.95,0.0,1.0
12.0,4.0,0.0,52.0,9.0,4.0,547.0,454.0,0.83,6.0,5.0,3.0,0.0,18.0,13.0,2.0,33.0,4.0,1.0,23.0,6.63,1.0,1.0
8.0,1.0,0.0,56.0,20.0,14.0,681.0,606.0,0.89,12.0,8.0,4.0,0.0,35.0,14.0,0.0,49.0,4.0,2.0,23.0,7.82,0.0,0.0
11.0,3.0,0.0,62.0,10.0,2.0,657.0,568.0,0.86,7.0,6.0,2.0,0.0,24.0,8.0,2.0,21.0,5.0,3.0,23.0,6.25,1.0,1.0
6.0,2.0,0.0,60.0,19.0,6.0,656.0,574.0,0.88,5.0,7.0,5.0,0.0,17.0,11.0,1.0,34.0,7.0,6.0,18.0,7.37,0.0,0.0
16.0,5.0,1.0,56.0,10.0,2.0,560.0,463.0,0.83,7.0,6.0,4.0,0.0,18.0,8.0,3.0,19.0,7.0,2.0,15.0,6.13,1.0,1.0
8.0,3.0,0.0,67.0,22.0,11.0,763.0,653.0,0.86,14.0,11.0,4.0,0.0,30.0,16.0,1.0,31.0,5.0,6.0,38.0,7.14,0.0,1.0
9.0,2.0,0.0,75.0,18.0,7.0,877.0,781.0,0.89,8.0,9.0,7.0,0.0,32.0,19.0,1.0,27.0,6.0,5.0,26.0,7.06,1.0,1.0
6.0,0.0,0.0,69.0,25.0,10.0,804.0,714.0,0.89,13.0,7.0,2.0,0.0,37.0,19.0,1.0,23.0,15.0,5.0,10.0,7.27,0.0,1.0
16.0,1.0,0.0,51.0,8.0,5.0,610.0,491.0,0.8,7.0,3.0,4.0,0.0,14.0,8.0,0.0,28.0,3.0,1.0,22.0,6.53,1.0,1.0
9.0,3.0,0.0,65.0,21.0,6.0,732.0,656.0,0.9,7.0,12.0,6.0,0.0,22.0,11.0,1.0,17.0,15.0,3.0,19.0,6.73,0.0,1.0
12.0,0.0,0.0,65.0,20.0,5.0,636.0,551.0,0.87,4.0,6.0,1.0,0.0,23.0,11.0,1.0,29.0,15.0,5.0,32.0,6.64,0.0,1.0
11.0,3.0,0.0,57.0,11.0,2.0,603.0,505.0,0.84,5.0,2.0,3.0,0.0,13.0,4.0,2.0,22.0,9.0,2.0,30.0,6.47,1.0,1.0
13.0,2.0,0.0,56.0,6.0,1.0,632.0,549.0,0.87,7.0,3.0,2.0,0.0,15.0,7.0,3.0,43.0,5.0,1.0,17.0,6.49,1.0,1.0
9.0,1.0,0.0,76.0,22.0,7.0,748.0,644.0,0.86,8.0,13.0,2.0,0.0,31.0,20.0,0.0,19.0,12.0,3.0,17.0,7.0,0.0,1.0
13.0,2.0,0.0,53.0,10.0,5.0,643.0,524.0,0.81,3.0,3.0,5.0,0.0,25.0,15.0,0.0,29.0,4.0,1.0,26.0,7.11,1.0,1.0
11.0,3.0,0.0,62.0,20.0,6.0,625.0,569.0,0.91,14.0,4.0,3.0,0.0,12.0,9.0,1.0,33.0,10.0,4.0,16.0,7.43,0.0,0.0
12.0,1.0,0.0,57.0,23.0,9.0,576.0,500.0,0.87,14.0,3.0,2.0,0.0,8.0,6.0,2.0,26.0,10.0,4.0,10.0,7.05,1.0,1.0
10.0,0.0,0.0,66.0,20.0,6.0,708.0,591.0,0.83,13.0,3.0,4.0,0.0,26.0,15.0,2.0,39.0,8.0,6.0,27.0,7.36,0.0,1.0
10.0,1.0,0.0,75.0,24.0,10.0,772.0,694.0,0.9,11.0,9.0,1.0,0.0,13.0,7.0,2.0,27.0,6.0,8.0,24.0,7.53,1.0,0.0
12.0,2.0,0.0,60.0,17.0,8.0,602.0,520.0,0.86,4.0,7.0,0.0,0.0,16.0,10.0,3.0,20.0,8.0,1.0,26.0,6.67,0.0,1.0
15.0,3.0,1.0,53.0,16.0,5.0,534.0,455.0,0.85,13.0,4.0,2.0,0.0,23.0,17.0,4.0,30.0,8.0,3.0,19.0,7.21,1.0,1.0
13.0,2.0,0.0,60.0,12.0,4.0,613.0,503.0,0.82,10.0,7.0,4.0,0.0,43.0,20.0,0.0,23.0,7.0,1.0,29.0,6.8,0.0,1.0
16.0,2.0,0.0,62.0,23.0,10.0,691.0,601.0,0.87,18.0,9.0,0.0,0.0,16.0,10.0,3.0,18.0,8.0,5.0,20.0,7.25,0.0,0.0
11.0,0.0,0.0,68.0,16.0,7.0,713.0,584.0,0.82,12.0,7.0,3.0,0.0,22.0,12.0,1.0,12.0,6.0,3.0,30.0,6.58,1.0,1.0
8.0,4.0,0.0,62.0,12.0,1.0,736.0,637.0,0.87,10.0,4.0,3.0,0.0,23.0,10.0,1.0,37.0,5.0,3.0,24.0,6.9,0.0,1.0
12.0,2.0,0.0,60.0,9.0,3.0,674.0,576.0,0.85,9.0,6.0,0.0,0.0,21.0,9.0,1.0,28.0,5.0,1.0,21.0,6.87,1.0,1.0
9.0,2.0,0.0,72.0,22.0,10.0,827.0,744.0,0.9,11.0,6.0,4.0,0.0,21.0,7.0,3.0,23.0,10.0,2.0,17.0,7.38,1.0,1.0
15.0,3.0,0.0,59.0,13.0,5.0,494.0,401.0,0.81,12.0,7.0,2.0,0.0,31.0,17.0,2.0,22.0,4.0,6.0,31.0,7.1,0.0,1.0
9.0,1.0,0.0,66.0,25.0,9.0,787.0,724.0,0.92,17.0,7.0,2.0,0.0,23.0,12.0,2.0,29.0,8.0,4.0,22.0,7.92,0.0,0.0
16.0,2.0,0.0,61.0,15.0,8.0,512.0,419.0,0.82,13.0,6.0,5.0,0.0,16.0,9.0,1.0,22.0,6.0,4.0,28.0,6.76,1.0,1.0
9.0,0.0,0.0,67.0,23.0,8.0,780.0,694.0,0.89,9.0,7.0,2.0,0.0,27.0,17.0,1.0,35.0,9.0,6.0,25.0,7.41,0.0,1.0
12.0,2.0,0.0,61.0,17.0,4.0,689.0,579.0,0.84,14.0,8.0,2.0,0.0,39.0,24.0,1.0,17.0,9.0,4.0,19.0,7.33,1.0,1.0
12.0,1.0,0.0,61.0,17.0,8.0,618.0,528.0,0.85,7.0,7.0,3.0,0.0,30.0,13.0,4.0,30.0,6.0,3.0,28.0,7.39,1.0,0.0
11.0,3.0,0.0,49.0,13.0,6.0,459.0,362.0,0.79,7.0,4.0,4.0,0.0,18.0,10.0,3.0,25.0,4.0,3.0,32.0,6.89,0.0,1.0
11.0,3.0,0.0,56.0,11.0,4.0,638.0,528.0,0.83,11.0,1.0,5.0,0.0,25.0,13.0,2.0,31.0,3.0,4.0,26.0,7.5,1.0,0.0
6.0,0.0,0.0,59.0,23.0,13.0,588.0,489.0,0.83,7.0,7.0,3.0,0.0,35.0,17.0,4.0,25.0,4.0,5.0,25.0,7.24,1.0,1.0
18.0,2.0,0.0,50.0,13.0,5.0,534.0,439.0,0.82,13.0,4.0,0.0,0.0,26.0,12.0,2.0,53.0,6.0,2.0,24.0,7.05,0.0,1.0
16.0,3.0,0.0,70.0,22.0,4.0,703.0,616.0,0.88,4.0,4.0,2.0,0.0,28.0,15.0,1.0,17.0,11.0,7.0,30.0,6.82,1.0,1.0
12.0,1.0,0.0,62.0,19.0,10.0,653.0,561.0,0.86,16.0,7.0,1.0,0.0,22.0,14.0,1.0,20.0,6.0,3.0,28.0,7.85,0.0,0.0
5.0,0.0,0.0,58.0,20.0,6.0,749.0,676.0,0.9,9.0,5.0,3.0,0.0,23.0,14.0,4.0,14.0,8.0,4.0,13.0,7.69,0.0,0.0
14.0,4.0,0.0,57.0,17.0,4.0,605.0,522.0,0.86,8.0,5.0,5.0,0.0,17.0,12.0,1.0,28.0,7.0,6.0,19.0,6.8,1.0,1.0
9.0,0.0,0.0,58.0,27.0,7.0,646.0,564.0,0.87,3.0,4.0,1.0,0.0,12.0,9.0,2.0,32.0,11.0,9.0,25.0,6.78,0.0,1.0
21.0,2.0,0.0,55.0,15.0,3.0,512.0,400.0,0.78,6.0,1.0,2.0,0.0,29.0,15.0,4.0,32.0,8.0,4.0,25.0,6.45,1.0,1.0
16.0,2.0,1.0,63.0,16.0,7.0,547.0,456.0,0.83,12.0,4.0,5.0,0.0,34.0,19.0,1.0,20.0,4.0,5.0,21.0,6.61,0.0,1.0
12.0,1.0,1.0,44.0,19.0,7.0,433.0,361.0,0.83,7.0,8.0,1.0,0.0,15.0,10.0,2.0,49.0,6.0,6.0,10.0,0.0,1.0,1.0
9.0,2.0,0.0,62.0,15.0,4.0,590.0,496.0,0.84,12.0,6.0,1.0,0.0,22.0,11.0,2.0,20.0,4.0,7.0,37.0,0.0,0.0,1.0
16.0,3.0,0.0,59.0,19.0,6.0,558.0,439.0,0.79,10.0,10.0,2.0,0.0,46.0,27.0,6.0,24.0,4.0,8.0,26.0,0.0,1.0,1.0
11.0,1.0,0.0,62.0,23.0,12.0,574.0,489.0,0.85,6.0,10.0,1.0,0.0,25.0,14.0,3.0,37.0,3.0,8.0,22.0,0.0,1.0,1.0
15.0,0.0,0.0,63.0,20.0,7.0,663.0,550.0,0.83,14.0,14.0,6.0,0.0,38.0,24.0,1.0,26.0,12.0,1.0,33.0,0.0,0.0,1.0
13.0,2.0,0.0,76.0,27.0,7.0,781.0,706.0,0.9,5.0,15.0,0.0,0.0,21.0,11.0,1.0,19.0,12.0,8.0,19.0,0.0,0.0,0.0
5.0,2.0,0.0,51.0,6.0,5.0,510.0,396.0,0.78,9.0,4.0,2.0,0.0,19.0,8.0,2.0,29.0,6.0,3.0,25.0,0.0,1.0,1.0
10.0,1.0,0.0,59.0,25.0,11.0,636.0,560.0,0.88,13.0,8.0,2.0,0.0,15.0,9.0,2.0,30.0,8.0,8.0,27.0,0.0,0.0,1.0
6.0,0.0,0.0,38.0,13.0,4.0,341.0,253.0,0.74,7.0,3.0,1.0,0.0,36.0,16.0,4.0,22.0,7.0,1.0,16.0,0.0,0.0,1.0
14.0,3.0,1.0,56.0,14.0,5.0,622.0,536.0,0.86,8.0,5.0,3.0,0.0,15.0,6.0,3.0,35.0,6.0,3.0,19.0,0.0,1.0,0.0
7.0,0.0,0.0,44.0,13.0,7.0,436.0,324.0,0.74,11.0,6.0,1.0,0.0,33.0,13.0,3.0,29.0,3.0,3.0,19.0,0.0,1.0,0.0
22.0,3.0,0.0,40.0,11.0,6.0,358.0,264.0,0.74,6.0,4.0,4.0,0.0,26.0,11.0,0.0,44.0,4.0,1.0,26.0,0.0,0.0,0.0
11.0,2.0,0.0,51.0,13.0,1.0,459.0,343.0,0.75,6.0,5.0,1.0,0.0,24.0,17.0,0.0,30.0,9.0,3.0,29.0,0.0,0.0,1.0
10.0,1.0,0.0,53.0,13.0,5.0,445.0,342.0,0.77,15.0,5.0,2.0,0.0,29.0,17.0,1.0,37.0,6.0,2.0,23.0,0.0,1.0,1.0
16.0,4.0,0.0,69.0,20.0,10.0,584.0,511.0,0.88,9.0,8.0,1.0,0.0,43.0,20.0,2.0,12.0,5.0,5.0,16.0,0.0,0.0,1.0
11.0,2.0,0.0,47.0,13.0,2.0,376.0,273.0,0.73,13.0,5.0,2.0,0.0,46.0,23.0,4.0,35.0,7.0,4.0,34.0,0.0,1.0,1.0
10.0,5.0,0.0,70.0,16.0,7.0,602.0,497.0,0.83,7.0,6.0,2.0,0.0,34.0,17.0,3.0,31.0,4.0,5.0,18.0,0.0,1.0,1.0
16.0,1.0,0.0,66.0,19.0,10.0,592.0,518.0,0.88,11.0,3.0,1.0,0.0,26.0,14.0,2.0,24.0,8.0,1.0,19.0,0.0,0.0,1.0
16.0,3.0,1.0,39.0,17.0,7.0,308.0,228.0,0.74,10.0,5.0,6.0,0.0,27.0,13.0,3.0,39.0,7.0,3.0,19.0,0.0,0.0,1.0
12.0,5.0,0.0,46.0,15.0,7.0,383.0,281.0,0.73,4.0,6.0,0.0,0.0,23.0,15.0,0.0,32.0,5.0,3.0,32.0,0.0,1.0,1.0
10.0,3.0,0.0,54.0,15.0,3.0,552.0,460.0,0.83,8.0,6.0,1.0,0.0,22.0,9.0,3.0,27.0,10.0,2.0,16.0,0.0,1.0,1.0
16.0,0.0,0.0,55.0,12.0,7.0,594.0,529.0,0.89,9.0,4.0,3.0,0.0,17.0,7.0,2.0,25.0,5.0,0.0,20.0,0.0,0.0,1.0
20.0,3.0,1.0,51.0,14.0,3.0,462.0,378.0,0.82,10.0,7.0,2.0,0.0,33.0,16.0,1.0,25.0,8.0,3.0,18.0,0.0,0.0,1.0
11.0,1.0,0.0,50.0,20.0,11.0,533.0,446.0,0.84,14.0,7.0,1.0,0.0,16.0,10.0,2.0,25.0,6.0,3.0,19.0,0.0,1.0,0.0
18.0,2.0,0.0,61.0,8.0,3.0,609.0,494.0,0.81,8.0,7.0,5.0,0.0,40.0,20.0,1.0,21.0,2.0,3.0,32.0,0.0,1.0,1.0
11.0,2.0,0.0,54.0,10.0,4.0,551.0,461.0,0.84,9.0,1.0,5.0,0.0,25.0,15.0,2.0,42.0,3.0,3.0,23.0,0.0,0.0,1.0
7.0,1.0,0.0,46.0,14.0,7.0,424.0,335.0,0.79,7.0,4.0,4.0,0.0,25.0,8.0,0.0,47.0,4.0,3.0,26.0,0.0,0.0,1.0
14.0,0.0,0.0,51.0,12.0,4.0,481.0,384.0,0.8,14.0,6.0,3.0,0.0,34.0,19.0,3.0,29.0,4.0,4.0,21.0,0.0,1.0,1.0
14.0,3.0,0.0,50.0,16.0,5.0,425.0,341.0,0.8,4.0,6.0,5.0,0.0,29.0,15.0,4.0,36.0,5.0,6.0,20.0,0.0,0.0,1.0
15.0,3.0,0.0,38.0,9.0,5.0,317.0,227.0,0.72,8.0,2.0,1.0,0.0,32.0,12.0,3.0,35.0,1.0,3.0,15.0,0.0,1.0,1.0
14.0,4.0,0.0,48.0,10.0,2.0,435.0,356.0,0.82,4.0,9.0,2.0,0.0,25.0,13.0,2.0,24.0,4.0,4.0,33.0,0.0,0.0,1.0
14.0,2.0,0.0,54.0,16.0,6.0,588.0,491.0,0.84,10.0,6.0,3.0,0.0,24.0,9.0,2.0,33.0,4.0,6.0,16.0,0.0,1.0,0.0
15.0,4.0,0.0,47.0,19.0,5.0,628.0,526.0,0.84,11.0,3.0,2.0,0.0,40.0,18.0,0.0,39.0,10.0,4.0,29.0,0.0,1.0,1.0
11.0,1.0,0.0,55.0,18.0,7.0,616.0,533.0,0.87,7.0,3.0,4.0,0.0,15.0,7.0,0.0,21.0,8.0,3.0,25.0,0.0,0.0,1.0
17.0,2.0,0.0,52.0,14.0,7.0,479.0,393.0,0.82,3.0,5.0,1.0,0.0,26.0,8.0,1.0,22.0,6.0,1.0,21.0,0.0,1.0,1.0
12.0,0.0,0.0,64.0,23.0,8.0,626.0,544.0,0.87,8.0,7.0,2.0,0.0,27.0,16.0,1.0,26.0,9.0,6.0,19.0,0.0,0.0,0.0
14.0,2.0,0.0,56.0,20.0,10.0,566.0,471.0,0.83,10.0,9.0,3.0,0.0,34.0,20.0,2.0,41.0,4.0,6.0,32.0,0.0,0.0,1.0
20.0,4.0,1.0,52.0,15.0,3.0,415.0,332.0,0.8,0.0,6.0,1.0,0.0,39.0,21.0,2.0,24.0,11.0,1.0,26.0,0.0,1.0,1.0
12.0,1.0,0.0,45.0,8.0,1.0,446.0,309.0,0.69,7.0,3.0,0.0,0.0,30.0,19.0,4.0,31.0,5.0,2.0,34.0,0.0,1.0,1.0
17.0,1.0,0.0,56.0,14.0,6.0,587.0,495.0,0.84,4.0,6.0,4.0,0.0,21.0,8.0,5.0,42.0,7.0,1.0,26.0,0.0,0.0,1.0
13.0,3.0,0.0,42.0,19.0,5.0,375.0,291.0,0.78,7.0,5.0,3.0,0.0,28.0,16.0,2.0,24.0,9.0,5.0,25.0,0.0,1.0,1.0
14.0,0.0,0.0,58.0,29.0,10.0,594.0,513.0,0.86,9.0,10.0,3.0,0.0,23.0,13.0,2.0,35.0,14.0,5.0,18.0,0.0,0.0,0.0
13.0,2.0,0.0,41.0,15.0,6.0,390.0,312.0,0.8,13.0,6.0,7.0,0.0,15.0,6.0,2.0,41.0,6.0,3.0,17.0,0.0,0.0,1.0
12.0,2.0,0.0,70.0,18.0,6.0,754.0,654.0,0.87,10.0,5.0,0.0,0.0,41.0,27.0,1.0,17.0,10.0,2.0,28.0,0.0,1.0,1.0
11.0,1.0,0.0,65.0,26.0,16.0,678.0,610.0,0.9,10.0,14.0,2.0,0.0,25.0,13.0,4.0,24.0,6.0,4.0,18.0,0.0,0.0,0.0
13.0,2.0,0.0,55.0,20.0,6.0,546.0,476.0,0.87,6.0,9.0,3.0,0.0,36.0,17.0,1.0,18.0,8.0,6.0,15.0,0.0,1.0,1.0
12.0,3.0,0.0,44.0,12.0,4.0,403.0,308.0,0.76,4.0,4.0,0.0,0.0,38.0,17.0,3.0,30.0,6.0,2.0,22.0,0.0,1.0,1.0
17.0,3.0,0.0,54.0,24.0,9.0,453.0,394.0,0.87,6.0,9.0,1.0,0.0,27.0,13.0,1.0,18.0,10.0,5.0,19.0,0.0,0.0,1.0
11.0,0.0,0.0,52.0,14.0,7.0,532.0,456.0,0.86,7.0,3.0,1.0,0.0,28.0,17.0,1.0,27.0,5.0,2.0,31.0,0.0,1.0,1.0
12.0,2.0,0.0,50.0,11.0,3.0,451.0,359.0,0.8,9.0,6.0,2.0,0.0,33.0,12.0,1.0,29.0,6.0,2.0,22.0,0.0,1.0,1.0
11.0,1.0,0.0,60.0,17.0,8.0,632.0,552.0,0.87,5.0,6.0,9.0,0.0,16.0,10.0,3.0,15.0,4.0,5.0,20.0,0.0,0.0,1.0
12.0,3.0,0.0,56.0,10.0,3.0,503.0,420.0,0.83,8.0,9.0,2.0,0.0,40.0,22.0,2.0,21.0,4.0,3.0,22.0,0.0,1.0,1.0
12.0,1.0,0.0,58.0,21.0,8.0,585.0,497.0,0.85,11.0,7.0,1.0,0.0,36.0,22.0,0.0,12.0,8.0,5.0,22.0,0.0,0.0,1.0
14.0,2.0,0.0,72.0,33.0,9.0,647.0,557.0,0.86,4.0,15.0,4.0,0.0,17.0,11.0,0.0,13.0,12.0,12.0,22.0,0.0,0.0,1.0
